
> admin_web@0.1.0 dev
> next dev

▲ Next.js 16.2.11 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://169.254.0.21:3000
- Environments: .env
✓ Ready in 675ms
⚠ Warning: Next.js inferred your workspace root, but it may not be correct.
 We detected multiple lockfiles and selected the directory of /home/user/package-lock.json as the root directory.
 To silence this warning, set `turbopack.root` in your Next.js config, or consider removing one of the lockfiles if it's not needed.
   See https://nextjs.org/docs/app/api-reference/config/next-config-js/turbopack#root-directory for more information.
 Detected additional lockfiles: 
   * /home/user/admin_web/package-lock.json


 HEAD / 307 in 631ms (next.js: 278ms, application-code: 353ms)
 POST /api/public/auth/login 200 in 782ms (next.js: 307ms, application-code: 476ms)
 POST /api/public/auth/welcome-gift/claim 200 in 390ms (next.js: 359ms, application-code: 31ms)
 GET /api/public/auth/me 200 in 120ms (next.js: 105ms, application-code: 15ms)
 GET /api/public/page-configs/home 200 in 198ms (next.js: 160ms, application-code: 38ms)
 GET /api/public/intro-config 200 in 340ms (next.js: 331ms, application-code: 10ms)
 GET /api/public/pass/policies 200 in 415ms (next.js: 397ms, application-code: 19ms)
 GET /api/public/wallet?userId=1 200 in 173ms (next.js: 161ms, application-code: 12ms)
 GET /api/public/attendance/status?userId=1 200 in 158ms (next.js: 149ms, application-code: 9ms)
 GET /api/public/healing-quotes 200 in 154ms (next.js: 144ms, application-code: 10ms)
 GET /api/public/wishes/my 401 in 170ms (next.js: 162ms, application-code: 7ms)
 GET /api/public/notifications?userId=1&limit=50 200 in 175ms (next.js: 167ms, application-code: 8ms)
 GET /api/public/pass/policies 200 in 13ms (next.js: 5ms, application-code: 8ms)
 GET /api/public/pass/status?userId=1 200 in 89ms (next.js: 80ms, application-code: 10ms)
 GET /api/public/wallet?userId=1 200 in 99ms (next.js: 91ms, application-code: 8ms)
 GET /api/public/attendance/status?userId=1 200 in 18ms (next.js: 13ms, application-code: 5ms)
 GET /api/public/pass/status?userId=1 200 in 22ms (next.js: 6ms, application-code: 16ms)
 GET /api/public/wallet?userId=1 200 in 23ms (next.js: 5ms, application-code: 18ms)
 GET /api/public/wallet?userId=1 200 in 25ms (next.js: 6ms, application-code: 19ms)
 GET /api/public/wallet?userId=1 200 in 25ms (next.js: 6ms, application-code: 19ms)
 GET /api/public/wallet?userId=1 200 in 30ms (next.js: 6ms, application-code: 24ms)
 GET /api/public/intro-config 200 in 19ms (next.js: 6ms, application-code: 13ms)
 GET /api/public/pass/policies 200 in 38ms (next.js: 14ms, application-code: 24ms)
 GET /api/public/page-configs/home 200 in 67ms (next.js: 45ms, application-code: 22ms)
 GET /api/public/wishes/my 401 in 48ms (next.js: 40ms, application-code: 8ms)
 GET /api/public/intro-config 200 in 32ms (next.js: 24ms, application-code: 9ms)
 GET /api/public/healing-quotes 200 in 29ms (next.js: 22ms, application-code: 7ms)
 GET /api/public/wallet?userId=1 200 in 32ms (next.js: 19ms, application-code: 13ms)
 GET /api/public/attendance/status?userId=1 200 in 29ms (next.js: 21ms, application-code: 8ms)
 GET /api/public/notifications?userId=1&limit=50 200 in 20ms (next.js: 14ms, application-code: 6ms)
 GET /api/public/pass/policies 200 in 20ms (next.js: 6ms, application-code: 15ms)
 GET /api/public/pass/status?userId=1 200 in 16ms (next.js: 4ms, application-code: 12ms)
 GET /api/public/wallet?userId=1 200 in 38ms (next.js: 11ms, application-code: 28ms)
 GET /api/public/attendance/status?userId=1 200 in 57ms (next.js: 41ms, application-code: 16ms)
 GET /api/public/pass/status?userId=1 200 in 16ms (next.js: 5ms, application-code: 11ms)
 GET /api/public/wallet?userId=1 200 in 24ms (next.js: 5ms, application-code: 19ms)
 GET /api/public/wallet?userId=1 200 in 21ms (next.js: 5ms, application-code: 16ms)
